pair,pearson,spearman,abs_diff
price vs y,0.8653952444044999,0.9627883524929848,0.09739310808848489
price vs z,0.8612077326584772,0.9573092469126283,0.09610151425415114
price vs x,0.88450403751755,0.9632599234537772,0.07875588593622718
depth vs table,-0.2976691225286014,-0.24519443610160432,0.05247468642699707
table vs price,0.12656608744342743,0.17102534698069036,0.04445925953726293
carat vs y,0.951908406507332,0.995614499218142,0.04370609271081005
carat vs price,0.9215483214030162,0.9629237103605653,0.04137538895754911
carat vs z,0.9535419924501989,0.9932554165694383,0.03971342411923939
y vs z,0.9518439491151917,0.9870809377475049,0.03523698863231328
x vs y,0.9745922289703873,0.9978926871145888,0.023300458144201452
depth vs price,-0.011047521867952178,0.010180992547264225,0.021228514415216403
carat vs x,0.9753796376444227,0.996161316027518,0.020781678383095303
x vs z,0.9706862032534104,0.9873662068242928,0.016680003570882396
carat vs table,0.18109110520764224,0.19416628822632137,0.013075183018679132
table vs y,0.18323095190618846,0.19495182095321803,0.01172086904702957
depth vs z,0.09475724793583404,0.10365133135920004,0.008894083423366006
table vs z,0.1502703192128784,0.15910469115125705,0.00883437193837866
table vs x,0.19485492285832526,0.2014660593625918,0.006611136504266535
depth vs y,-0.029389122919680107,-0.0252468991419927,0.004142223777687408
carat vs depth,0.02786088988604045,0.030288367523009004,0.002427477636968555
depth vs x,-0.02534832054165634,-0.02327299774519407,0.0020753227964622686
